iter	MultiClass
0	1.034695369
1	0.9872375511
2	0.9510629516
3	0.9227258047
4	0.900538196
5	0.8829953413
6	0.8698933603
7	0.8585399765
8	0.8360537756
9	0.8166907881
10	0.8013964286
11	0.7893829375
12	0.7794694036
13	0.7708506867
14	0.7616795671
15	0.7547816062
16	0.7502311364
17	0.745495856
18	0.7420097548
19	0.7392260823
20	0.7365877711
21	0.7344154092
22	0.7321520694
23	0.7305397329
24	0.7293816706
25	0.7283223108
26	0.7273514619
27	0.7266808684
28	0.7257434652
29	0.7251417687
30	0.7245692989
31	0.7238630148
32	0.7232090688
33	0.7230130803
34	0.722414972
35	0.7219598804
36	0.7215223194
37	0.7212845303
38	0.7205841636
39	0.7199935302
40	0.7195801659
41	0.7190842573
42	0.7186046042
43	0.7182892326
44	0.7181662396
45	0.7179835547
46	0.7175518469
47	0.7173990601
48	0.7171407748
49	0.717090889
50	0.7168971729
51	0.7166189919
52	0.7161153502
53	0.7158327195
54	0.715723856
55	0.7155289124
56	0.7152932995
57	0.7149777884
58	0.7148101231
59	0.7147228569
60	0.7146710962
61	0.7144623403
62	0.7143764974
63	0.7142303988
64	0.714187458
65	0.7138595301
66	0.713518497
67	0.7133319167
68	0.7132085909
69	0.7129276406
70	0.7125889397
71	0.7123387816
72	0.7121835164
73	0.7120456819
74	0.711727525
75	0.7114720995
76	0.7112660852
77	0.7109304244
78	0.7107191109
79	0.7106323245
80	0.7104577975
81	0.7104236821
82	0.7103263056
83	0.7100430265
84	0.7099532835
85	0.7099003734
86	0.7097144147
87	0.7094544522
88	0.7091791887
89	0.7089916729
90	0.7084823093
91	0.7083273474
92	0.7079976673
93	0.7075862348
94	0.7072601591
95	0.7071054837
96	0.7069235696
97	0.7065341461
98	0.7060660175
99	0.7059042775
100	0.7057172122
101	0.7054887773
102	0.7052941537
103	0.7050669094
104	0.7048505027
105	0.7045615326
106	0.7044497955
107	0.7042506702
108	0.7041402571
109	0.7037855423
110	0.7036660424
111	0.703484423
112	0.7033235229
113	0.7031189441
114	0.7029174787
115	0.7026705626
116	0.7025954037
117	0.7024618751
118	0.7021218062
119	0.7017558226
120	0.7013176103
121	0.7012256962
122	0.701061678
