iter	Passed	Remaining
0	120	120579
1	216	108087
2	258	85940
3	365	91112
4	487	96997
5	587	97259
6	619	87849
7	661	81986
8	752	82895
9	842	83442
10	914	82187
11	1004	82666
12	1062	80686
13	1162	81856
14	1253	82285
15	1358	83540
16	1409	81530
17	1519	82876
18	1615	83410
19	1709	83786
20	1796	83773
21	1899	84462
22	2001	85025
23	2109	85780
24	2201	85867
25	2307	86425
26	2408	86807
27	2512	87211
28	2619	87708
29	2722	88020
30	2810	87865
31	2912	88093
32	3015	88350
33	3135	89074
34	3242	89386
35	3331	89217
36	3438	89490
37	3541	89663
38	3642	89761
39	3735	89644
40	3820	89352
41	3919	89394
42	4036	89827
43	4075	88542
44	4183	88793
45	4285	88867
46	4381	88850
47	4445	88170
48	4547	88266
49	4641	88181
50	4733	88074
51	4830	88071
52	4942	88307
53	5055	88565
54	5152	88525
55	5254	88573
56	5382	89049
57	5481	89023
58	5567	88796
59	5641	88383
60	5742	88397
61	5860	88659
62	5960	88653
63	6068	88755
64	6179	88886
65	6288	88986
66	6388	88960
67	6501	89109
68	6609	89176
69	6708	89133
70	6830	89378
71	6952	89606
72	7064	89705
73	7180	89855
74	7280	89787
75	7408	90068
76	7520	90150
77	7625	90132
78	7748	90333
79	7860	90393
80	7951	90217
81	8057	90205
82	8156	90114
83	8243	89893
84	8360	89999
85	8466	89978
86	8564	89877
87	8688	90046
88	8795	90026
89	8922	90213
90	9028	90187
91	9152	90327
92	9253	90245
93	9383	90444
94	9508	90585
95	9635	90733
96	9748	90749
97	9855	90714
98	9945	90509
99	10053	90478
100	10168	90507
101	10296	90649
102	10421	90755
103	10540	90807
104	10653	90807
105	10756	90718
106	10864	90671
107	10987	90748
108	11102	90758
109	11193	90567
110	11281	90351
111	11369	90141
112	11485	90159
113	11602	90175
114	11718	90183
115	11834	90188
116	11936	90086
117	12037	89974
118	12152	89972
119	12276	90024
120	12392	90026
121	12513	90058
122	12631	90063
123	12746	90049
124	12842	89896
125	12933	89713
126	13049	89700
127	13150	89589
128	13250	89465
129	13365	89442
130	13474	89381
131	13575	89270
132	13675	89150
133	13785	89091
134	13897	89048
135	13999	88937
136	14102	88833
137	14203	88717
138	14308	88631
139	14422	88596
140	14540	88585
141	14659	88576
142	14781	88586
143	14905	88605
144	15035	88658
145	15158	88664
146	15268	88598
147	15381	88547
148	15505	88559
149	15617	88498
150	15737	88485
151	15855	88459
152	15976	88447
153	16093	88407
154	16176	88187
155	16279	88074
156	16407	88099
157	16519	88034
158	16628	87951
159	16755	87965
160	16887	88005
161	16990	87887
162	17110	87860
163	17213	87745
164	17299	87548
165	17394	87393
166	17476	87174
167	17568	87004
168	17689	86983
169	17812	86967
170	17932	86936
171	18041	86849
172	18171	86864
173	18267	86717
174	18390	86699
175	18491	86572
176	18585	86416
177	18670	86222
178	18758	86037
179	18870	85967
180	18984	85901
181	19094	85818
182	19192	85682
183	19275	85483
184	19408	85501
185	19515	85405
186	19639	85386
187	19737	85249
188	19834	85110
189	19938	85002
190	20059	84965
191	20174	84902
192	20292	84849
193	20416	84825
194	20537	84782
195	20659	84746
196	20774	84680
197	20902	84666
198	21023	84622
199	21141	84567
200	21228	84384
201	21316	84209
202	21433	84151
203	21541	84055
204	21656	83983
205	21767	83898
206	21887	83849
207	22005	83788
208	22112	83689
209	22228	83622
210	22333	83511
211	22449	83444
212	22530	83246
213	22612	83053
214	22706	82904
215	22795	82738
216	22888	82589
217	22975	82417
218	23059	82235
219	23140	82043
220	23225	81866
221	23302	81664
222	23380	81466
223	23466	81295
224	23579	81219
225	23688	81129
226	23797	81036
227	23913	80970
228	24017	80863
229	24129	80781
230	24204	80575
231	24284	80391
232	24381	80259
233	24477	80127
234	24590	80049
235	24708	79988
236	24812	79881
237	24909	79752
238	25020	79668
239	25115	79532
240	25220	79430
241	25336	79359
242	25441	79254
243	25550	79165
244	25658	79071
245	25781	79020
246	25905	78974
247	26019	78898
248	26134	78824
249	26257	78771
250	26370	78690
251	26469	78567
252	26561	78424
253	26660	78301
254	26786	78257
255	26907	78200
256	27015	78104
257	27136	78044
258	27253	77972
259	27368	77894
260	27493	77844
261	27606	77761
262	27714	77664
263	27834	77599
264	27936	77484
265	28041	77376
266	28152	77286
267	28263	77196
268	28361	77071
269	28482	77008
270	28606	76951
271	28739	76920
272	28854	76839
273	28946	76697
274	29062	76618
275	29163	76502
276	29270	76398
277	29357	76245
278	29436	76070
279	29539	75958
280	29647	75859
281	29742	75727
282	29836	75592
283	29945	75497
284	30075	75451
285	30178	75340
286	30287	75243
287	30395	75144
288	30507	75054
289	30612	74948
290	30719	74845
291	30834	74762
292	30952	74687
293	31078	74629
294	31187	74531
295	31296	74435
296	31414	74357
297	31537	74292
298	31653	74211
299	31779	74153
300	31911	74107
301	32029	74028
302	32153	73963
303	32273	73889
304	32391	73809
305	32510	73732
306	32614	73621
307	32732	73542
308	32870	73506
309	32989	73428
310	33099	73329
311	33222	73259
312	33329	73155
313	33437	73050
314	33541	72940
315	33647	72832
316	33778	72778
317	33908	72721
318	34041	72671
319	34167	72605
320	34294	72542
321	34421	72477
322	34528	72371
323	34645	72286
324	34778	72233
325	34893	72141
326	35019	72073
327	35152	72020
328	35275	71944
329	35396	71865
330	35521	71794
331	35643	71716
332	35773	71654
333	35902	71589
334	36016	71495
335	36137	71414
336	36265	71347
337	36385	71262
338	36514	71197
339	36644	71132
340	36771	71063
341	36894	70983
342	37021	70912
343	37155	70854
344	37286	70789
345	37412	70715
346	37532	70630
347	37663	70564
348	37794	70499
349	37909	70403
350	38033	70323
351	38165	70259
352	38299	70197
353	38430	70129
354	38555	70052
355	38685	69981
356	38808	69899
357	38925	69804
358	39048	69722
359	39169	69635
360	39296	69557
361	39426	69487
362	39539	69384
363	39623	69232
364	39731	69121
365	39855	69038
366	39983	68963
367	40109	68883
368	40219	68777
369	40342	68691
370	40436	68556
371	40547	68451
